depth	latitude	longitude
10.5	44.125	7.781
12.8	42.47	13.237
10.2	43.32	12.603
8.6	44.34	7.224
3.1	43.412	12.574
8	43.404	12.522
8.8	43.361	12.61
9.2	41.762	13.569
8.4	42.983	12.594
5.8	43.359	12.611
9	43.304	12.546
5	43.426	12.547
9.9	43.318	12.552
5.7	43.37	12.615
8.6	43.462	12.483
21.4	43.342	12.368
10.4	44.53	8.563
10.3	42.9	13.2
7.7	43.298	12.544
8.2	43.299	12.547
10.4	42.917	12.871
10	44.242	7.026
9.8	43.299	12.537
7.5	44.092	11.678
9.7	43.359	12.613
8.5	43.305	12.546
9.6	43.299	12.54
4.2	42.814	13.068
13.4	43.045	13.018
213.8	39.346	15.77
6.3	43.366	12.608
9.5	43.309	12.541
11.2	42.163	13.609
10.3	43.36	12.612
8.2	43.367	12.606
10.4	43.359	12.606
9.8	43.41	12.57
8.4	42.721	12.585
7.1	42.728	12.6
5.1	44.154	10.987
6.8	43.401	12.42
11.9	42.541	13.288
13.4	45.081	7.16
5	43.408	12.573
17.9	42.546	13.325
18.4	42.552	13.322
10.8	42.979	13
16.8	42.529	13.311
10	43.301	12.541
12.6	42.643	13.122
7.5	43.457	12.479
18.2	42.547	13.322
8.4	38.125	15.13
18.2	42.54	13.326
6.9	43.346	12.54
10	44.541	7.238
2.5	43.41	12.572
8.5	43.453	12.538
91.8	39.389	18.925
15.9	43.127	13.224
1.7	44.345	11.915
12	46.407	10.584
6	44.101	8.107
8.7	43.352	12.57
6.2	43.364	12.601
3.9	43.299	12.546
10.5	46.426	10.584
28	40.468	16.124
5.9	43.359	12.615
10.1	43.357	12.608
5.9	43.366	12.61
4.4	43.407	12.437
8.3	44.404	10.24
15.3	41.086	15.25
8.3	43.359	12.62
7.5	43.355	12.618
13.8	42.411	13.141
7.2	43.359	12.613
17.3	41.083	15.267
13	43.355	12.73
8.8	43.361	12.608
13	41.81	13.594
6.6	39.261	16.221
13.5	43.353	12.727
6.6	43.395	12.52
7.8	43.304	12.552
5.1	43.415	12.575
10.3	46.408	10.57
11.6	46.411	10.58
7.7	43.358	12.615
8.3	43.358	12.616
7.8	43.356	12.616
8.7	43.355	12.611
10	43.604	12.149
9.9	43.224	12.981
14.5	43.3	12.55
9.8	42.768	13.214
9.8	43.303	12.543
10	43.306	12.548
7.5	43.465	12.47
6.4	43.361	12.614
132.5	38.444	15.511
6.2	43.338	12.548
6.5	43.339	12.545
10	41.516	13.787
6.2	43.419	12.548
6.6	43.457	12.482
23.9	42.314	14.265
6	45.642	10.716
127	38.46	15.29
10.4	42.917	12.737
9.2	46.834	11.586
13	42.622	13.211
10.6	39.842	16.178
9.7	42.343	13.504
5.6	43.357	12.575
14.1	42.631	13.216
5.1	44.221	10.226
13	44.134	11.022
11	44.137	11.013
12.6	44.131	11.017
4	43.405	12.578
16.9	44.121	11.005
7.8	44.167	10.99
11.2	44.136	11.024
17.8	44.106	11.01
10.5	44.141	10.998
12	42.622	13.196
10.4	44.143	11.002
12.3	44.145	11.019
11	43.247	11.386
10.1	43.244	12.636
10.4	42.38	13.145
10	43.308	12.56
11.1	46.36	12.927
3.4	43.141	11.059
5.6	39.934	15.87
10	45.629	7.63
9.9	43.31	12.546
11.1	42.964	12.885
9	44.368	8.45
6.7	43.342	12.542
5	43.406	12.581
7.8	43.428	12.428
10.3	44.167	11.17
7.7	43.306	12.548
9.4	43.304	12.534
9.1	43.304	12.544
7.8	43.307	12.548
9.8	43.303	12.542
10	39.611	15.8
6.4	42.726	12.856
8	45.674	10.446
2.2	39.317	15.763
13.4	42.486	13.02
12.8	43.389	12.837
54.9	39.223	16.214
8.7	43.304	12.546
12.7	44.395	7.306
10.1	43.182	12.578
19.7	36.924	14.797
8.5	39.898	16.009
8.7	39.885	16.073
8.7	38.08	14.742
8.2	38.095	14.742
4.8	44.193	10.193
9.2	43.174	12.799
23.5	44.559	10.066
10	46.128	11.199
6.5	43.428	12.506
9.6	42.924	12.85
9.3	43.266	11.404
8.2	38.16	15.15
10	44.357	7.28
7.8	43.456	12.456
9.2	42.958	12.908
7.1	46.127	7.637
