# latitude	longitude	depth =
43.144	12.792	9.9
43.504	12.428	8.7
43.047	12.791	9.7
43.303	12.549	8.8
43.172	13	11
43.788	11.734	9.5
43.363	12.606	7.4
40.644	15.718	11.1
43.019	12.897	22.2
42.378	13.33	10.8
43.085	12.566	9.7
43.42	12.548	8
41.963	15.869	8.2
43.142	13.461	23.5
43.471	12.451	5.8
43.424	12.539	9.2
46.09	7.516	9
44.129	10.68	15.5
43.487	12.415	7.7
43.495	12.403	8.3
42.566	13.357	11.1
42.663	13.581	14.5
44.139	10.687	15.5
44.143	10.674	14.7
43.439	12.486	10.2
42.603	13.348	7.8
38.555	14.907	10
38.732	15.516	80.5
42.772	13.252	6.9
42.581	13.165	11.3
46.12	7.525	8.8
43.379	12.543	8.7
43.439	12.417	5.4
43.069	12.994	12
43.419	11.974	11
39.91	16.118	4.3
43.422	11.989	11.2
42.345	13.488	9.6
43.307	12.541	7.5
42.569	13.354	12.1
43.344	12.565	9.5
42.902	13.168	10.7
44.152	10.681	8.8
42.907	13.167	12
38.707	15.574	189.2
46.037	10.604	7.4
44.138	7.801	11
39.987	15.563	10.1
43.386	12.435	4.4
43.947	11.827	7.9
44.145	10.491	8.4
43.307	12.541	9.8
41.483	14.614	10.3
43.302	12.55	9.3
43.429	12.563	9.4
44.327	8.26	9.7
38.602	16.235	21
37.31	16.389	21.7
44.482	6.686	10.9
43.483	12.439	8.6
43.581	12.546	3.4
43.372	12.615	6.1
42.487	13.246	13.7
43.656	12.512	9.2
44.348	10.097	13.4
43.178	12.98	24.9
43.306	12.544	8.3
42.944	13.098	11.3
43.381	12.631	10.8
43.37	12.567	4
44.253	10.58	10.7
43.415	12.721	14.2
43.496	12.418	8.4
43.092	12.852	24.7
43.303	12.549	9.6
43.526	12.316	8.2
43.301	12.553	9.2
44.13	10.677	13.9
43.304	12.553	9.1
44.239	10.556	10.3
43.302	12.546	9.7
43.303	12.551	7.8
43.098	13.402	23.3
43.423	12.542	8.9
42.994	13.002	13.2
43.463	12.486	7.3
38.098	15.092	9.3
44.047	10.94	47.7
39.892	15.988	8.5
39.9	16.032	8.7
43.408	13.337	10.5
43.346	12.525	8
43.344	12.634	9.4
38.879	15.921	2.9
44.471	6.711	10
41.966	13.741	10.7
37.765	14.584	10.4
39.942	15.492	263.4
43.43	12.51	8.7
43.519	12.313	8.7
42.99	12.963	10.8
44.247	10.557	7.8
43.133	12.581	8.5
44.482	7.37	31.5
42.333	13.481	10.2
41.923	13.18	9.7
43.414	12.544	8
44.136	10.709	13.4
44.127	10.79	14.8
43.421	12.577	8.2
37.206	15.167	11.2
43.96	11.744	8.1
43.302	12.538	9.3
43.442	12.426	3.7
38.495	14.484	6.3
38.124	15.26	5
42.824	13.029	8.9
44.106	10.693	17.7
38.194	15.565	9.5
43.364	12.615	9.8
43.343	12.566	9.5
43.38	12.501	9.1
44.154	10.718	13.1
44.116	10.714	15.5
43.441	12.419	7.6
42.544	13.339	11
39.471	16.719	30.3
40.837	14.682	3.8
43.41	12.568	8.4
44.132	10.692	13.7
44.171	10.703	14.8
44.183	10.7	6.1
43.361	12.609	9.1
38.183	15.562	9.3
39.901	16.011	8.6
38.587	14.467	14.6
44.142	10.678	15.5
38.586	14.457	15.2
39.903	16.106	9.6
44.133	10.665	13.7
43.307	12.554	9.6
44.119	10.704	13.9
43.303	12.554	9.3
43.31	12.572	10.4
43.304	12.543	9.6
43.305	12.553	9.3
43.409	12.576	3.9
44.145	10.705	14.6
43.302	12.542	9.3
42.987	12.598	9.4
44.142	10.699	14.4
43.391	12.6	4.8
43.397	12.599	3.9
44.143	10.701	3.1
43.304	12.536	6.7
43.388	12.607	5.4
43.362	12.528	10.3
42.952	13.113	12.9
43.95	10.698	11.8
43.399	12.596	4.6
42.491	13.358	10.8
43.144	12.53	9.7
43.452	12.545	8.8
46.318	11.81	10.9
43.343	12.546	6.9
44.144	10.691	14.6
43.361	12.61	6.3
43.334	12.635	8.3
44.142	10.687	14.2
39.773	16.27	9.4
44.14	10.678	14.5
43.472	12.503	9.3
38.068	15.138	7.3
43.319	12.558	7.4
43.412	12.487	8.8
43.376	12.504	4.1
43.376	12.508	5.1
44.166	10.682	10.1
44.154	10.696	12.1
44.135	10.679	14.3
43.416	12.546	6.4
44.138	10.72	12.5
38.175	15.054	6.8
44.138	10.721	14.3
44.14	10.709	13
44.135	10.717	14.3
44.146	10.706	10.1
44.131	10.718	9.3
44.148	10.723	10.1
44.146	10.676	9.1
44.148	10.696	13.6
44.14	10.674	10.4
37.094	16.027	33.6
43.972	10.7	14.6
44.13	10.694	13.6
44.139	10.699	13.7
44.151	10.692	12.9
43.123	12.506	8.2
44.152	10.69	13
44.146	10.686	13.8
44.141	10.689	9.6
44.139	10.661	10.5
44.137	10.686	13.6
41.351	14.468	18.3
44.145	10.72	13.8
44.129	10.683	12.9
44.144	10.682	13.4
44.137	10.706	15.4
44.142	10.669	9.1
44.186	10.717	3.6
44.158	10.694	12.6
44.149	10.712	10.5
44.147	10.68	10.7
44.149	10.682	13.1
44.133	10.695	14.8
44.132	10.682	13.1
44.143	10.68	12.9
44.13	10.683	15.2
44.127	10.677	15.4
43.022	12.66	6.4
43.119	12.503	8
43.083	12.628	19
43.424	12.544	6.8
42.792	13.091	9.5
43.479	12.418	8.7
43.472	12.507	8.6
43.363	12.608	6.7
43.332	12.545	9.1
43.15	12.789	7.9
43.124	11.02	8.7
43.424	12.544	4.7
44.295	10.807	11.2
43.367	12.605	6.6
43.308	12.537	7.5
42.984	12.978	13
42.446	13.253	9.8
43.413	12.502	6.8
43.42	12.528	4.5
43.413	12.524	6.6
42.441	13.293	10.7
42.956	12.901	6.1
38.432	15.353	114
43.478	12.541	10.2
43.427	12.542	7.2
43.427	12.543	8.9
43.024	12.954	12.5
43.468	12.463	7.8
43.648	12.163	8.6
43.426	12.542	8.7
45.624	14.774	5
42.893	13.05	7.8
43.41	12.576	4.7
43.408	12.574	5
43.263	12.654	10.1
42.557	13.337	11
43.411	12.573	5.4
44.492	6.729	11.5
43.418	12.445	4.8
41.934	15.757	29
43.36	12.611	5.6
43.253	12.639	10.2
38.776	15.974	54
40.469	16.134	8.7
43.359	12.611	10
43.462	12.487	8.4
43.061	12.872	9.2
37.941	14.329	10.6
43.302	12.548	9.8
43.482	12.428	12.1
43.458	12.487	8
43.459	12.48	6.9
43.608	10.553	10.5
43.409	12.574	4.1
42.588	13.198	11.3
43.494	12.725	13.9
43.295	12.583	7.7
44.125	7.781	10.5
42.47	13.237	12.8
43.32	12.603	10.2
44.34	7.224	8.6
43.412	12.574	3.1
43.404	12.522	8
43.361	12.61	8.8
41.762	13.569	9.2
42.983	12.594	8.4
43.359	12.611	5.8
43.304	12.546	9
43.426	12.547	5
43.318	12.552	9.9
43.37	12.615	5.7
43.462	12.483	8.6
43.342	12.368	21.4
44.53	8.563	10.4
42.9	13.2	10.3
43.298	12.544	7.7
43.299	12.547	8.2
42.917	12.871	10.4
44.242	7.026	10
43.299	12.537	9.8
44.092	11.678	7.5
43.359	12.613	9.7
43.305	12.546	8.5
43.299	12.54	9.6
42.814	13.068	4.2
43.045	13.018	13.4
39.346	15.77	213.8
43.366	12.608	6.3
43.309	12.541	9.5
42.163	13.609	11.2
43.36	12.612	10.3
43.367	12.606	8.2
43.359	12.606	10.4
43.41	12.57	9.8
42.721	12.585	8.4
42.728	12.6	7.1
44.154	10.987	5.1
43.401	12.42	6.8
42.541	13.288	11.9
45.081	7.16	13.4
43.408	12.573	5
